field_name,type,x0,y0,x1,y1,on_value,options,meaning_TODO
チェックボックス116,/Btn,83.7,660.9,97.9,675.1,/þÿ0o0D,,
Dropdown1,/Ch,455.6,657.6,515.1,674.3,,130/80|140/90|150/90,
テキスト113,/Tx,254.0,660.5,300.9,673.0,,,
テキスト8,/Tx,138.6,661.0,170.0,672.9,,,
チェックボックス15,/Btn,84.0,644.0,101.1,661.0,/þÿ0o0D,,
テキスト114,/Tx,150.5,645.8,200.7,657.6,,,
Dropdown2,/Ch,307.3,598.4,558.7,630.1,,目標血圧をきめる|血圧手帳をつける|減塩手帳をつける,
テキスト111,/Tx,55.0,601.9,283.5,628.8,,,
テキスト111,/Tx,57.7,547.6,546.8,574.5,,,
チェックボックス100,/Btn,87.3,526.0,104.3,543.0,/þÿ0o0D,,
チェックボックス102,/Btn,367.4,525.5,384.4,542.5,/þÿ0o0D,,
チェックボックス27,/Btn,88.4,507.8,105.4,524.8,/þÿ0o0D,,
チェックボックス29,/Btn,367.0,507.2,384.0,524.2,/þÿ0o0D,,
テキスト1,/Tx,492.8,509.6,571.4,523.8,,,
チェックボックス33,/Btn,366.2,487.8,383.2,504.8,/þÿ0o0D,,
チェックボックス31,/Btn,89.1,487.2,106.1,504.2,/þÿ0o0D,,
テキスト2,/Tx,424.8,488.0,572.2,502.8,,,
チェックボックス35,/Btn,90.0,469.2,107.1,486.2,/þÿ0o0D,,
チェックボックス88,/Btn,43.6,468.7,60.6,485.7,/þÿ0o0D,,
テキスト6,/Tx,227.1,469.7,349.0,485.2,,,
Dropdown15,/Ch,371.7,467.3,399.6,484.0,,1|2|3|4|5|6,
テキスト16,/Tx,225.2,449.3,348.8,468.0,,,
チェックボックス37,/Btn,88.7,449.2,105.7,466.2,/þÿ0o0D,,
Dropdown15-1,/Ch,372.9,448.3,400.8,465.0,,1|2|3|4|5|6,
テキスト3,/Tx,158.4,431.1,382.4,446.5,,,
チェックボックス39,/Btn,89.7,429.2,106.7,446.2,/þÿ0o0D,,
チェックボックス41,/Btn,89.4,410.6,106.4,427.6,/þÿ0o0D,,
チェックボックス43,/Btn,88.7,391.9,105.7,408.9,/þÿ0o0D,,
テキスト4,/Tx,187.9,391.2,472.7,408.6,,,
テキスト5,/Tx,134.2,373.5,281.6,389.6,,,
Dropdown7,/Ch,324.0,374.8,413.0,388.3,,ほぼ毎日 |週5日|週4日|週3日|週2日|週1日,
チェックボックス94,/Btn,44.6,355.8,61.6,372.8,/þÿ0o0D,,
Dropdown13,/Ch,130.3,355.6,300.7,370.9,,息がはずむが会話が可能な強さ|脈拍　100拍/分|脈拍　120拍/分,
チェックボックス45,/Btn,88.7,339.0,105.7,356.0,/þÿ0o0D,,
Dropdown12,/Ch,228.1,337.8,404.2,353.2,,1日１万歩,
チェックボックス48,/Btn,87.8,321.0,104.8,338.0,/þÿ0o0D,,
テキスト20,/Tx,222.4,322.6,401.9,336.0,,,
チェックボックス104,/Btn,89.7,302.1,106.7,319.1,/þÿ0o0D,,
チェックボックス92,/Btn,40.3,294.2,57.3,311.2,/þÿ0o0D,,
チェックボックス105,/Btn,88.4,284.2,105.4,301.2,/þÿ0o0D,,
チェックボックス106,/Btn,226.6,283.2,243.7,300.2,/þÿ0o0D,,
チェックボックス57,/Btn,344.3,266.2,361.3,283.2,/þÿ0o0D,,
チェックボックス52,/Btn,89.1,265.6,106.1,282.6,/þÿ0o0D,,
チェックボックス53,/Btn,157.9,264.9,174.9,281.9,/þÿ0o0D,,
チェックボックス55,/Btn,226.6,263.9,243.7,280.9,/þÿ0o0D,,
チェックボックス90,/Btn,45.9,254.2,63.0,271.3,/þÿ0o0D,,
チェックボックス59,/Btn,90.4,247.3,107.4,264.3,/þÿ0o0D,,
チェックボックス61,/Btn,89.4,227.4,106.4,244.4,/þÿ0o0D,,
テキスト22,/Tx,145.0,229.8,398.4,242.9,,,
チェックボックス64,/Btn,297.7,210.0,314.7,227.0,/þÿ0o0D,,
Dropdown8-2,/Ch,218.7,208.7,243.9,226.6,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31,
Dropdown4-2,/Ch,174.0,211.6,205.7,225.9,,1|2|3|4|5|6|7|8|9|10|11|12,
テキスト23,/Tx,464.6,211.3,521.0,224.1,,,
チェックボックス66,/Btn,41.9,193.7,58.9,210.7,/þÿ0o0D,,
チェックボックス74,/Btn,298.1,193.7,315.1,210.7,/þÿ0o0D,,
チェックボックス68,/Btn,81.9,193.4,98.9,210.4,/þÿ0o0D,,
チェックボックス70,/Btn,136.6,193.1,153.7,210.1,/þÿ0o0D,,
チェックボックス72,/Btn,188.1,192.4,205.1,209.4,/þÿ0o0D,,
Dropdown18,/Ch,233.8,195.0,264.3,207.8,,1|2|3|4|5|6|7|8|9|10|11|12,
テキスト24,/Tx,464.2,195.7,521.7,206.1,,,
チェックボックス76,/Btn,297.4,176.1,314.4,193.1,/þÿ0o0D,,
テキスト19,/Tx,168.5,177.0,257.9,191.1,,,
テキスト25,/Tx,463.9,176.3,520.6,189.1,,,
チェックボックス79,/Btn,296.7,159.5,313.8,176.5,/þÿ0o0D,,
チェックボックス13,/Btn,42.0,159.5,56.1,173.7,/þÿ0o0D,,
テキスト21,/Tx,167.5,160.3,281.4,171.4,,,
テキスト26,/Tx,463.9,160.6,518.9,171.4,,,
チェックボックス80,/Btn,296.4,140.9,313.4,157.9,/þÿ0o0D,,
テキスト27,/Tx,360.8,142.9,546.2,154.4,,,
Dropdown29,/Ch,122.9,107.8,238.4,122.4,,低栄養状態の恐れ|良好|肥満,
チェックボックス83,/Btn,41.5,105.3,58.5,122.3,/þÿ0o0D,,
チェックボックス85,/Btn,39.9,89.4,56.9,106.4,/þÿ0o0D,,
テキスト28,/Tx,120.1,90.8,309.6,104.3,,,
電子サイン17,/Tx,386.2,46.9,568.3,70.2,,,
